id,name,type,prefecture,lat,lon
183,久留米城,続100,福岡県,33.3258,130.5053
184,基肄城,続100,佐賀県,33.4567,130.5186
185,唐津城,続100,佐賀県,33.4539,129.9772
186,吉野ヶ里,続100,佐賀県,33.3275,130.3856
187,原城,続100,長崎県,32.6136,130.2208
188,福江城,続100,長崎県,32.6953,128.8472
189,鞠智城,続100,熊本県,33.0019,130.7853
190,八代城,続100,熊本県,32.5072,130.6011
191,中津城,続100,大分県,33.6067,131.1864
192,角牟礼城,続100,大分県,33.2783,131.1569
193,臼杵城,続100,大分県,33.1239,131.8089
194,佐伯城,続100,大分県,32.9606,131.8953
195,延岡城,続100,宮崎県,32.5833,131.6589
196,佐土原城,続100,宮崎県,32.0494,131.4328
197,志布志城,続100,鹿児島県,31.4789,131.1111
198,知覧城,続100,鹿児島県,31.3789,130.4431
199,座喜味城,続100,沖縄県,26.4086,127.7422
200,勝連城,続100,沖縄県,26.3314,127.8792
